2026-05-25T11:15:08.257778+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:08.890273+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:09.257313+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:09.930455+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:10.257152+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:10.969690+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:11.256845+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:12.009534+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:12.256621+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:13.048892+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:13.255991+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:14.088583+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:14.255808+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:15.128439+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:15.255449+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:16.168002+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:16.254897+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:17.207546+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:17.254490+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:18.246957+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:18.253859+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:19.253625+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:19.286858+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:20.253674+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:20.326410+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:21.253088+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:21.366007+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:22.252740+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:22.405665+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:23.252636+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:23.445529+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:24.252069+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:24.485080+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:25.251341+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:25.524179+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:26.251090+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:26.564101+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:27.251017+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:27.603867+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:28.250680+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:28.643274+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:29.250232+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:29.682796+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:30.250120+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:30.723003+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:31.249649+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:31.762068+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:32.249218+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:32.801616+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:33.248774+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:33.841494+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:34.248653+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:34.881192+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:35.248361+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:35.920779+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:36.247880+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:36.960322+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:37.247532+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:38.000014+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:38.247053+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:39.039804+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:39.246722+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:40.079087+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:40.246184+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:41.118854+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:41.245997+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:42.158390+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:42.245757+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:43.198262+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:43.245265+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:44.237527+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:44.244789+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:45.244475+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:45.277425+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:46.244129+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:46.316762+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:47.243499+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:47.356819+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:48.243455+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:48.395838+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:49.242779+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:49.435606+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:50.242556+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:50.475558+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:51.242248+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:51.515420+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:52.241858+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:52.554950+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:53.241438+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:53.594544+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:54.241119+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:54.633861+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:55.240531+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:55.673843+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:56.240416+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:56.713276+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:57.239825+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:57.752794+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:58.239561+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:58.792452+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:15:59.239315+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:15:59.832073+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:00.238861+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:00.871646+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:01.238546+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:01.911804+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:02.238124+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:02.950853+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:03.237667+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:03.990463+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:04.237457+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:05.030029+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:05.237007+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:06.069846+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:06.236712+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:07.109353+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:07.236408+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:08.148935+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:08.235772+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:09.188689+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:09.235559+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:10.228142+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:10.235013+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:11.234774+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:11.267825+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:12.234370+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:12.307135+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:13.234120+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:13.347002+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:14.233801+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:14.386241+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:15.233455+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:15.426232+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:16.232974+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:16.465911+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:17.232407+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:17.505781+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:18.231976+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:18.545332+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:19.231832+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:19.584790+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:20.231575+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:20.624182+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:21.231404+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:21.664045+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:22.231126+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:22.703873+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:23.230551+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:23.742979+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:24.230110+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:24.782430+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:25.229496+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:25.822115+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:26.229019+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:26.861732+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:27.228969+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:27.901398+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:28.228603+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:28.941169+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:29.228373+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:29.980453+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:30.228075+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
2026-05-25T11:16:31.020431+00:00,0x4e0,Standard Frame,Data Frame,0x24,0x0,0x43,0x0,0x0,0x0,0x0,0x0
2026-05-25T11:16:31.227627+00:00,0x45a,Standard Frame,Data Frame,0x5a,0x4,0x0,0x43,0x0,0xf,0xf,0xf
